what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368197696
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368202131
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368212896
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286368214136
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286368222126
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368228171
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368229481
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368230171
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286368231831
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368231861
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286368234616
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368234836
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368234901
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1286368238111
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286368246996
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1286368259446
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286368260401
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286368261771
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368263401
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.openEditorDropDown",1286368263411
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368270039
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368270124
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368270224
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368270809
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.openEditorDropDown",1286368270819
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368272894
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368273189
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.openEditorDropDown",1286368273199
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368297765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.previous",1286368298690
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368299280
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.openEditorDropDown",1286368299290
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368301325
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368303520
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.openEditorDropDown",1286368303535
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368304190
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368308620
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286368311660
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368311835
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286368341340
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368350055
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368354140
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368354235
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.nextEditor",1286368354235
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368354710
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368355055
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286368355205
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.nextEditor",1286368355235
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368355545
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368355645
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368355735
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.nextEditor",1286368355735
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368356095
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368356170
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286368356320
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.nextEditor",1286368356350
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368356670
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286368356755
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286368356850
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.nextEditor",1286368356850
