what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384319822
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384375650
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1286384378171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384379290
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384381061
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384381654
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384385128
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384390987
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384393135
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1286384395366
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384408719
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384503806
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384508739
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384518121
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1286384519970
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384520833
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384543109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384551167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286384558691
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286384559346
