what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235698977
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286235699617
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286235703065
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286235705077
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1286235706824
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286235707277
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235708275
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235709710
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286235728056
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286235740364
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286235746526
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286235748071
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235748710
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235822093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1286235839144
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286235840142
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235841530
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235854837
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1286235857037
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286235857255
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235858035
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286235862388
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286235878565
