what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231676895
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231708236
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231709718
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231711839
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231712760
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231714694
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231715568
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1286231729904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231741058
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231743601
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231748858
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231755098
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231760995
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231764770
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231805829
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231806609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231807389
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231808138
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231811430
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231834081
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231869805
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231877855
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231887979
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231899242
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231939958
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286231945497
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231948398
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.BeansList",1286231958897
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231963998
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231969333
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231971096
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231978584
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231981704
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231984309
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231991953
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286231995713
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286231997975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232007663
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232008318
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232009691
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232011563
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232012686
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1286232012686
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232015182
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232016040
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232021843
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232023122
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232036991
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232039783
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232046881
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232050422
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232053261
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232110654
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.BeansList",1286232119094
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232140700
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232143227
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232151386
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.BeansList",1286232154896
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232160761
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1286232163663
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232165145
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232168920
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286232169653
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232180839
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232207842
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286232221149
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232223785
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232225548
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232226469
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232228419
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.BeansList",1286232231882
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232233067
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286232235111
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor",1286232241757
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.BeansList",1286232250118
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1286232271662
activated,view,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.internal.java.codegen.editorpart.BeansList",1286232281006
